"Bundle, Kit, and Multipack Pricing Model",,,,,,,,,,
Bundle prices are built to create value without forcing Terry into deep discounting. Component subtotals and discount percentages are shown clearly.,,,,,,,,,,
,,,,,,,,,,
Bundle / Offer,Included Products,Audience,Component Price Logic,Component Subtotal,Recommended Bundle Price,Discount %,Offer Type,Reasoning / Tactic,Source URLs,Priority
Pet Hot Spot Rescue Kit,Pet Skin Treatment 4oz + Pet Shampoo + Pet Conditioner,Pet,$39.95 + $29.95 + $29.95,$99.85,$89.95,10%,Problem-solution kit,Hero bundle: turns one jar into a regimen; Shopify supports bundles as AOV and decision-friction tactic.,https://www.shopify.com/in/blog/product-bundling | https://www.4-legger.com/collections/bundle-and-save,High
Pet Coat Care Duo,Pet Shampoo + Pet Conditioner,Pet,$29.95 + $29.95,$59.90,$54.95,8%,Duo,Easy routine offer; matches pet grooming competitors that merchandise bundles.,https://www.4-legger.com/collections/bundle-and-save | https://tropiclean.com/collections/bundles,High
Canine Calm Starter Kit - 500mg,Pet CBD Oil 500mg + CBD Dog Treats 5mg,Pet CBD,$84.95 + $31.95,$116.90,$104.95,10%,CBD starter kit,Pairs precise oil with treat format; use compliance-safe calming/wellness language.,https://www.honestpaws.com/collections/cbd-for-dogs,High
Canine Calm Starter Kit - 1000mg,Pet CBD Oil 1000mg + CBD Dog Treats 5mg,Pet CBD,$149.95 + $31.95,$181.90,$164.95,9%,CBD starter kit,Large-dog version keeps dollar savings clear without heavy discounting CBD.,https://www.honestpaws.com/collections/cbd-for-dogs,High
Senior Dog Comfort Bundle,Pet Skin Treatment 4oz + Pet CBD Oil 500mg + Diabetic Dog Treats,Pet,$39.95 + $84.95 + $19.95,$144.85,$129.95,10%,Multi-need bundle,"Useful audience bundle, but copy must avoid medical/disease claims.",https://www.shopify.com/in/blog/product-bundling,Medium
Women’s Daily Repair Routine,Moisturizer 4oz + Face/Body Wash + Night Serum,Human,$39.95 + $39.95 + $69.95,$149.85,$134.95,10%,Routine bundle,Builds regimen AOV and gives Terry a clear premium skincare set.,https://www.shopify.com/in/blog/product-bundling | https://www.dermstore.com/c/brands/eminence-organic-skin-care,High
Anti-Aging Routine Bundle,Night Serum + Microderm Scrub + Moisturizer 4oz,Human,$69.95 + $44.95 + $39.95,$154.85,$139.95,10%,Routine bundle,Benefit-led kit for anti-aging page; price protects premium positioning.,https://www.dermstore.com/c/brands/eminence-organic-skin-care,High
Men’s Core Grooming Kit,Men’s Wash + Men’s Moisturizer 4oz + Men’s Serum,Human / Men,$39.95 + $39.95 + $69.95,$149.85,$134.95,10%,Routine bundle,Simple 3-step men’s routine; strong for gifting and conversion clarity.,https://www.shopify.com/in/blog/product-bundling,High
Men’s Hair Duo,Men’s Shampoo + Men’s Conditioner,Human / Men,$29.95 + $29.95,$59.90,$54.95,8%,Duo,Classic replenishment duo; should be offered beside both products.,https://www.shopify.com/in/blog/product-bundling,High
Manuka Hair Care Duo,Manuka Honey Shampoo + Manuka Honey Conditioner,Human,$29.95 + $29.95,$59.90,$54.95,8%,Duo,Easy routine pair; supports subscription and bulk options.,https://www.shopify.com/in/blog/product-bundling,High
Baby Bath + Skin Care Duo,Baby Wash + Baby Cream 4oz,Baby,$39.95 + $39.95,$79.90,$72.95,9%,Parent-friendly duo,Simplifies baby category and feels like a safer starter routine.,https://www.target.com/p/earth-mama-organics-diaper-balm-2-fl-oz/-/A-11878977 | https://www.shopify.com/in/blog/product-bundling,Medium
CBD Night Routine,Sleep Gummies + CBD Bath Bomb,Human CBD,$59.95 + $19.95,$79.90,$72.95,9%,Use-case bundle,Night routine AOV builder; avoid medical sleep claims.,https://www.charlottesweb.com/collections/thc-free | https://www.shopify.com/in/blog/product-bundling,Medium
CBD Relief Routine,CBD Intensive Relief Rub + CBD Bath Bomb,Human CBD,$69.95 + $19.95,$89.90,$79.95,11%,Use-case bundle,Topical + bath ritual bundle; good recovery/self-care positioning.,https://www.lazarusnaturals.com/collections/topicals | https://www.shopify.com/in/blog/product-bundling,Medium
CBD Bath Bomb Variety 3-Pack,Any 3 bath bomb scents,Human CBD,$19.95 x 3,$59.85,$54.95,8%,Variety pack,Lets customers sample scents; strong gift/cart add-on.,https://www.shopify.com/in/blog/product-bundling,High
CBD Bath Bomb Variety 5-Pack,Any 5 bath bomb scents,Human CBD,$19.95 x 5,$99.75,$84.95,15%,Variety pack,Higher AOV with clear savings; use only if margins support.,https://www.shopify.com/in/blog/product-bundling,Medium
CBD Gummies 2-Pack,Two CBD gummies jars,Human CBD,$49.95 x 2,$99.90,$89.95,10%,Multipack,Monthly stock-up offer; use on PDP and cart upsell.,https://www.charlottesweb.com/collections/thc-free,High
CBD Gummies 3-Pack,Three CBD gummies jars,Human CBD,$49.95 x 3,$149.85,$129.95,13%,Multipack,Mirrors competitor bundle structure while preserving margin.,https://www.charlottesweb.com/collections/thc-free,High