Recommended Store Taxonomy,,,,,,,
"Future-state navigation and category architecture for the unified store. This organizes products by how customers shop: audience, use case, and routine.",,,,,,,
,,,,,,,
Top Level,Collection,Recommended URL,Primary Products,Customer Intent,Strategic Role,Priority,Notes
Shop For Humans,Women’s Skincare,/shop/human/womens-skincare,"All-in-One Intensive Skin Treatment, Women’s Restoring Wash, Women’s Microdermabrasion Scrub, Age-Defying Night Serum","Women shopping for a clear skincare routine, sensitive skin support, anti-aging support, and Manuka honey skincare",Audience routine collection,High,"Adds the missing women-focused path so Women, Men, and Baby/Infant are balanced under Shop For Humans."
Shop For Humans,Therapeutic Skin Care,/shop/human/therapeutic-skin-care,"All-in-One Intensive Skin Treatment, Manuka Honey, Restoring Wash, Microdermabrasion Scrub","Problem-led dry skin, sensitive skin, eczema-prone search intent, ingredient-led skincare",Problem/use-case collection,High,"Use as a need-based doorway that can cross-link to Women’s Skincare, Men’s Grooming, and Baby & Infant Care."
Shop For Humans,Anti-Aging Serums,/shop/human/anti-aging-serums,"Age-Defying Night Serum, Men’s Anti-Aging Serum",High-margin skincare shoppers expect routine guidance and premium framing,Premium collection,High,Can remain a focused collection while also appearing inside Women’s Skincare and Men’s Grooming.
Shop For Humans,Hair & Scalp Care,/shop/human/hair-scalp-care,"Manuka Honey Shampoo, Manuka Honey Conditioner, Men’s Shampoo, Men’s Conditioner",Hair products are replenishable and easy to duo/bulk,Replenishment collection,Medium,"Support Subscribe & Save, shampoo/conditioner duos, and audience filters."
Shop For Humans,Men’s Grooming,/shop/human/mens-grooming,"Men’s Wash, Moisturizer, Serum, Scrub, Shampoo, Conditioner","Men buy clearer routines when products are grouped by use, not just ingredients",Routine collection,High,Offer a 3-step and full-routine kit.
Shop For Humans,Baby & Infant Care,/shop/human/baby-infant-care,"Baby Wash, Diaper Rash + Skin Cream","Parents and caregivers need gentle, clear, trust-heavy product presentation",Trust collection,High,Use Baby & Infant instead of Baby & Child unless true child/toddler-specific products are added.
Shop For Humans,CBD & Wellness,/shop/human/cbd-wellness,"CBD Oil, Gummies, Sleep Gummies, Relief Rub, Bath Bombs, Softgels","CBD category requires separate navigation, age gate, disclaimers, and use-case filtering",Regulated collection,High,Use strength/flavor selectors and CBD education modules.
Shop For Pets,Topical Skin Care,/shop/pet/topical-skin-care,"Pet Skin Treatment, UMF Manuka Honey","Pet owners search by symptom/use case such as hot spots, itchy skin, paws, and skin irritation",Hero pet collection,High,Use animal/use-case landing pages that point to canonical products.
Shop For Pets,Coat & Grooming,/shop/pet/coat-grooming,"Pet Shampoo, Pet Conditioner","Simple duo, routine purchase, strong Amazon visibility",Replenishment collection,High,Make shampoo/conditioner duo obvious.
Shop For Pets,CBD & Calming Oils,/shop/pet/cbd-wellness,"Pet CBD Oil, CBD Dog Treats, CBD Canine Wellness Combo",Keeps regulated pet CBD products distinct from non-CBD pet care,Regulated pet collection,High,Use size/weight guidance and disclaimers.
Shop For Pets,Pet Treats & Diabetic Care,/shop/pet/treats-diabetic-care,"Diabetic Dog Treats, CBD Dog Treats where appropriate","Treats are easy for multipacks, subscriptions, and problem-led entry points",Replenishment collection,High,Separate CBD treat subcategory or filter.
Shop For Pets,Horse & Large Animal Care,/shop/pet/horse-care,"Horse Skin Care Treatment Cream, UMF Manuka Honey","Horse owners have a different use case, size need, and shopping context than dog/cat owners",Niche authority collection,Medium,Include if Terry wants horse care visible as its own doorway; otherwise keep as a pet topical subcollection.
Bundles & Savings,Human Bundles,/shop/bundles/human,"Women’s Routine, Men’s Routine, Baby Kit, Hair Duo, CBD Recovery Kit",Bundles reduce decision fatigue and increase AOV,Conversion collection,High,"Use value and routine framing, not random discounts."
Bundles & Savings,Pet Bundles,/shop/bundles/pet,"Hot Spot Kit, Coat Care Duo, Canine Calm Kit, Horse Care Kit","Pet shoppers often buy for a problem, so kits match the buying moment",Conversion collection,High,"Organize by issue: itch, calm, coat, horse care."
Learn,Manuka Honey Education,/learn/manuka-honey,Ingredient explainer + products using Manuka Honey,Ingredient authority ties human and pet brands together,Education hub,Medium,Use as trust bridge and internal linking hub.
Learn,CBD Education,/learn/cbd-education,"CBD guides, dosing/strength explanations, disclaimers",CBD products need extra customer education and compliance discipline,Education hub,High,"Avoid medical claims; explain formats, strengths, and usage considerations."